offer_id,token,position,pos_tag,label
0,¡,0,faa,n
0,CUN,1,np00000,o
0,a,5,sp000,s
0,Ámsterdam,7,np00000,d
0,$,17,zm,n
0,"8,960",18,dn0000,p
0,!,23,fat,n
0,Sin,25,sp000,n
0,escala,29,nc0s000,n
0,en,36,sp000,n
0,EE.UU,39,np00000,n
1,¡,0,faa,n
1,CUN,1,np00000,o
1,a,5,sp000,s
1,Bélgica,7,np00000,d
1,$,15,zm,n
1,"9,337",16,dn0000,p
1,!,21,fat,n
1,Directos,23,aq0000,n
2,¡,0,faa,n
2,CDMX,1,np00000,o
2,a,6,sp000,s
2,Punta,8,np00000,d
2,Arenas,14,np00000,d
2,$,21,zm,n
2,"10,467",22,dn0000,p
2,!,28,fat,n
3,¡,0,faa,n
3,CDMX,1,np00000,o
3,a,6,sp000,s
3,Marrakech,8,np00000,d
3,",",17,fc,d
3,Marruecos,19,np00000,d
3,-,28,fg,n
3,$,30,zm,n
3,"14,688",31,dn0000,p
3,!,37,fat,n
3,(,39,z0,n
3,Por,40,sp000,n
3,$,30,zm,n
3,"2,672",45,dn0000,n
3,agrega,51,vmip000,n
3,6,34,dn0000,n
3,noches,60,nc0p000,n
3,de,67,sp000,n
3,hotel,70,nc0s000,n
3,con,76,sp000,n
3,desayunos,80,nc0p000,n
3,),89,nc0s000,n
4,¡,0,faa,n
4,Todo,1,di0000,o
4,México,6,np00000,o
4,a,13,sp000,s
4,Amsterdam,15,np00000,d
4,🇳🇱,25,np00000,f
4,$,28,zm,n
4,"11,974",29,dn0000,p
4,!,35,fat,n
4,(,37,z0,n
4,Por,38,sp000,n
4,$,28,zm,n
4,"2,930",43,dn0000,n
4,agrega,49,vmip000,n
4,6,56,dn0000,n
4,noches,58,nc0p000,n
4,de,65,sp000,n
4,hostal,68,nc0s000,n
4,),74,nc0s000,n
5,¡,0,faa,n
5,GDL,1,np00000,o
5,a,5,sp000,s
5,Los,7,da0000,d
5,Ángeles,11,np00000,d
5,$,19,zm,n
5,"3,055",20,dn0000,p
5,!,25,fat,n
5,Directos,27,aq0000,n
5,(,36,nc0s000,n
5,Agrega,37,vmip000,n
5,3,20,rg,n
5,noches,46,nc0p000,n
5,de,53,sp000,n
5,hotel,56,nc0s000,n
5,por,62,sp000,n
5,$,19,zm,n
5,"3,350",67,dn0000,n
5,),72,nc0s000,n
6,¡,0,faa,n
6,CDMX,1,np00000,o
6,a,6,sp000,s
6,Vancouver,8,np00000,d
6,",",17,fc,d
6,Canadá,19,np00000,d
6,🇨🇦,26,z0,f
6,$,29,zm,n
6,"4,859",30,z0,p
6,!,35,fat,n
6,(,37,z0,n
6,Por,38,sp000,n
6,$,29,zm,n
6,"1,711",43,dn0000,n
6,agrega,49,vmip000,n
6,3,56,dn0000,n
6,noches,58,nc0p000,n
6,de,65,sp000,n
6,Hostal,68,np00000,n
6,con,75,sp000,n
6,Desayunos,79,np00000,n
6,),88,f0,n
7,¡,0,faa,n
7,CDMX,1,np00000,o
7,a,6,sp000,s
7,Hawái,8,np00000,d
7,$,14,zm,n
7,"8,140",15,dn0000,p
7,!,20,fat,n
8,¡,0,faa,n
8,CDMX,1,np00000,o
8,a,6,sp000,s
8,Bogotá,8,np00000,d
8,🇨🇴,15,np00000,f
8,$,18,zm,n
8,"4,659",19,z0,p
8,!,24,fat,n
9,¡,0,faa,n
9,NYC,1,np00000,o
9,a,5,sp000,s
9,Irlanda,7,np00000,d
9,$,15,zm,n
9,"4,354",16,dn0000,p
9,!,21,fat,n
9,Directos,23,aq0000,n
10,¡,0,faa,n
10,CUN,1,np00000,o
10,a,5,sp000,s
10,Puerto,7,np00000,d
10,Rico,14,np00000,d
10,$,19,zm,n
10,"3,296",20,dn0000,p
10,!,25,fat,n
10,(,27,nc0s000,n
10,Agrega,28,vmip000,n
10,3,20,rg,n
10,noches,37,nc0p000,n
10,de,44,sp000,n
10,hotel,47,nc0s000,n
10,por,53,sp000,n
10,$,19,zm,n
10,"2,778",58,dn0000,n
10,),63,nc0s000,n
11,¡,0,faa,n
11,CDMX,1,np00000,o
11,a,6,sp000,s
11,Phuket,8,np00000,d
11,",",14,fc,d
11,Tailandia,16,np00000,d
11,–,26,fg,n
11,$,28,zm,n
11,"14,442",29,z0,p
11,!,35,fat,n
11,(,37,z0,n
11,Por,38,sp000,n
11,$,28,zm,n
11,"2,216",43,dn0000,n
11,agrega,49,vmip000,n
11,5,56,dn0000,n
11,noches,58,nc0p000,n
11,de,65,sp000,n
11,hotel,68,nc0s000,n
11,),73,nc0s000,n
12,¡,0,faa,n
12,CUN,1,np00000,o
12,a,5,sp000,s
12,Frankfurt,7,np00000,d
12,$,17,zm,n
12,"10,693",18,dn0000,p
12,!,24,fat,n
12,Directos,26,aq0000,n
13,¡,0,faa,n
13,CDMX,1,np00000,o
13,a,6,sp000,s
13,Buenos,8,np00000,d
13,Aires,15,np00000,d
13,",",20,fc,d
13,Argentina,22,np00000,d
13,–,32,fg,n
13,$,34,zm,n
13,"11,444",35,dn0000,p
13,!,41,fat,n
13,(,43,z0,n
13,Por,44,sp000,n
13,$,34,nc0p000,n
13,"3,520",49,z0,n
13,agrega,55,vmip000,n
13,10,62,dn0000,n
13,noches,65,nc0p000,n
13,de,72,sp000,n
13,hotel,75,nc0s000,n
13,),80,nc0s000,n
14,¡,0,faa,n
14,Todo,1,di0000,o
